Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-02,281.52,300.63,276.97,298.0,85349300,0.0,0
2020-03-03,302.85,303.18,285.03,288.54,79868900,0.0,0
2020-03-04,295.64,302.58,292.34,301.92,54794600,0.0,0
2020-03-05,294.72,298.74,290.62,292.13,46893200,0.0,0
2020-03-06,281.24,290.03,280.47,288.25,56544200,0.0,0
2020-03-09,263.04,277.34,262.29,265.45,71686200,0.0,0
2020-03-10,276.39,285.67,268.64,284.57,71322500,0.0,0
2020-03-11,276.64,280.46,271.13,274.69,63899700,0.0,0
2020-03-12,255.25,269.27,247.33,247.56,104618500,0.0,0
2020-03-13,264.17,279.16,252.27,277.22,92683000,0.0,0
2020-03-16,241.3,258.38,239.35,241.56,80605900,0.0,0
2020-03-17,246.84,256.91,237.76,252.18,81014000,0.0,0
2020-03-18,239.12,249.33,236.48,246.0,75058400,0.0,0
2020-03-19,246.72,252.16,241.96,244.12,67964300,0.0,0
2020-03-20,246.51,251.15,227.38,228.62,100423300,0.0,0
2020-03-23,227.46,227.88,212.04,223.76,84188200,0.0,0
2020-03-24,235.72,247.02,233.67,246.21,71882800,0.0,0
2020-03-25,250.07,257.55,243.64,244.86,75900500,0.0,0
2020-03-26,245.85,257.98,245.69,257.74,63021800,0.0,0
2020-03-27,252.07,255.18,246.38,247.07,51054200,0.0,0
2020-03-30,250.06,254.83,248.73,254.12,41994100,0.0,0
2020-03-31,254.91,261.78,251.32,253.6,49250500,0.0,0
2020-04-01,245.83,248.05,238.48,240.26,44054600,0.0,0
2020-04-02,239.69,244.49,236.26,244.27,41483500,0.0,0
2020-04-03,242.14,245.04,238.32,240.76,32470000,0.0,0
2020-04-06,250.22,262.4,248.71,261.76,50455100,0.0,0
2020-04-07,270.07,270.97,258.3,258.73,50721800,0.0,0
2020-04-08,262.03,266.65,260.52,265.35,42223800,0.0,0
2020-04-09,267.97,269.34,263.99,267.27,40529100,0.0,0
2020-04-13,267.59,272.96,265.11,272.51,32755700,0.0,0
2020-04-14,279.24,287.47,277.3,286.28,48748700,0.0,0
2020-04-15,281.64,285.56,279.87,283.66,32788600,0.0,0
2020-04-16,286.6,287.42,281.59,285.92,39281300,0.0,0
2020-04-17,283.92,286.18,276.11,282.04,53812500,0.0,0
2020-04-20,277.2,280.92,276.1,276.18,32503800,0.0,0
2020-04-21,275.53,276.5,264.71,267.65,45247900,0.0,0
2020-04-22,272.87,277.15,271.47,275.35,29264300,0.0,0
2020-04-23,275.13,280.99,274.13,274.29,31203600,0.0,0
2020-04-24,276.45,282.25,276.25,282.21,31627200,0.0,0
2020-04-27,281.04,283.77,279.19,282.41,29271900,0.0,0
2020-04-28,284.31,285.06,277.45,277.83,28001200,0.0,0
2020-04-29,283.96,288.89,283.12,286.95,34320200,0.0,0
2020-04-30,289.18,293.73,287.57,293.01,45457600,0.0,0
2020-05-01,285.48,298.19,285.08,288.29,60154200,0.0,0
2020-05-04,288.39,292.9,285.55,292.37,33392000,0.0,0
2020-05-05,294.26,300.19,293.67,296.76,36937800,0.0,0
2020-05-06,299.65,302.42,298.06,299.82,35583400,0.0,0
2020-05-07,302.4,304.35,301.15,302.92,28803800,0.0,0
2020-05-08,305.64,310.35,304.29,310.13,33512000,0.82,0
2020-05-11,308.1,317.05,307.24,315.01,36405900,0.0,0
2020-05-12,317.83,319.69,310.91,311.41,40575300,0.0,0
2020-05-13,312.15,315.95,303.21,307.65,50155600,0.0,0
2020-05-14,304.51,309.79,301.53,309.54,39732300,0.0,0
2020-05-15,300.35,307.9,300.21,307.71,41587100,0.0,0
2020-05-18,313.17,316.5,310.32,314.96,33843100,0.0,0
2020-05-19,315.03,318.52,313.01,313.14,25432400,0.0,0
2020-05-20,316.68,319.52,316.52,319.23,27876200,0.0,0
2020-05-21,318.66,320.89,315.87,316.85,25672200,0.0,0
2020-05-22,315.77,319.23,315.35,318.89,20450800,0.0,0
2020-05-26,323.5,324.24,316.5,316.73,31380500,0.0,0
2020-05-27,316.14,318.71,313.09,318.11,28236300,0.0,0
2020-05-28,316.77,323.44,315.63,318.25,33390200,0.0,0
2020-05-29,319.25,321.15,316.47,317.94,38399500,0.0,0
2020-06-01,317.75,322.35,317.21,321.85,20197800,0.0,0
2020-06-02,320.75,323.44,318.93,323.34,21910700,0.0,0
2020-06-03,324.66,326.2,322.3,325.12,26122800,0.0,0
2020-06-04,324.39,325.62,320.78,322.32,21890100,0.0,0
2020-06-05,323.35,331.75,323.23,331.5,34312600,0.0,0
2020-06-08,330.25,333.6,327.32,333.46,23913600,0.0,0
2020-06-09,332.14,345.61,332.01,343.99,36928100,0.0,0
2020-06-10,347.9,354.77,346.09,352.84,41662900,0.0,0
2020-06-11,349.31,351.06,335.48,335.9,50415600,0.0,0
